Cycle number,Channel,Analyte,BioModel,ka (M-1s-1),ka error (%),kd (s-1),kd error (%),Kd (M),Rmax (pg/mm²),Sqrt(Chi2) (pg/mm²)
23,Ch 3-1,ASAP-0020915,1:1 Kinetic,219008.4692,4.044615958,0.450562976,3.952300885,2.06E-06,35.073417,1.165518531
23,Ch 4-1,ASAP-0020915,1:1 Kinetic,209218.925,7.653379928,0.602865338,5.077833095,2.88E-06,37.94186121,1.134807128
24,Ch 2-1,ASAP-0020915,1:1 Kinetic,130957.0103,6.663847384,0.412103131,5.459220543,3.15E-06,71.91956123,2.731666867
24,Ch 3-1,ASAP-0020915,1:1 Kinetic,224775.035,3.947739946,0.449290362,3.905222323,2.00E-06,34.2817047,1.153660118
24,Ch 4-1,ASAP-0020915,1:1 Kinetic,221687.1058,7.233144994,0.606674547,4.889362485,2.74E-06,36.94676431,1.090526087
25,Ch 2-1,ASAP-0020915,1:1 Kinetic,146267.1213,6.33546147,0.410754816,5.502809861,2.81E-06,66.69693216,2.651741129
25,Ch 3-1,ASAP-0020915,1:1 Kinetic,221104.083,4.471265348,0.47179023,4.203052059,2.13E-06,34.33439196,1.257032014
25,Ch 4-1,ASAP-0020915,1:1 Kinetic,223310.6074,7.319792425,0.637145612,4.715676104,2.85E-06,36.49018329,1.123753447
26,Ch 2-1,ASAP-0020915,1:1 Kinetic,142812.6734,6.618739145,0.412065767,5.659352073,2.89E-06,67.18602844,2.658343251
26,Ch 3-1,ASAP-0020915,1:1 Kinetic,227164.889,4.486073047,0.471534877,4.275542812,2.08E-06,33.86311322,1.212172485
26,Ch 4-1,ASAP-0020915,1:1 Kinetic,213265.5738,7.978632888,0.650394423,4.933706349,3.05E-06,37.45362953,1.158395331
30,Ch 2-1,ASAP-0020915,1:1 Kinetic,133386.4151,6.712947715,0.402875731,5.658100472,3.02E-06,71.65558388,2.587457858
30,Ch 3-1,ASAP-0020915,1:1 Kinetic,223961.7541,3.969132312,0.43735242,4.032404974,1.95E-06,33.74728354,1.106305413
30,Ch 4-1,ASAP-0020915,1:1 Kinetic,226371.9545,6.983151058,0.576383772,5.033104644,2.55E-06,36.68199811,1.136512775
31,Ch 2-1,ASAP-0020915,1:1 Kinetic,135759.7229,6.580398251,0.402639972,5.620330125,2.97E-06,70.34202714,2.548205494
31,Ch 3-1,ASAP-0020915,1:1 Kinetic,221573.5892,4.14033343,0.441610581,4.154197422,1.99E-06,33.75305041,1.158025532
31,Ch 4-1,ASAP-0020915,1:1 Kinetic,222376.9068,7.269894623,0.581470225,5.152220846,2.61E-06,36.5954664,1.139275239
32,Ch 2-1,ASAP-0020915,1:1 Kinetic,148035.8373,6.158330095,0.397530805,5.617665974,2.69E-06,67.40429827,2.309252164
32,Ch 3-1,ASAP-0020915,1:1 Kinetic,226064.2621,4.095604637,0.444306569,4.116068047,1.97E-06,33.74859634,1.067824473
32,Ch 4-1,ASAP-0020915,1:1 Kinetic,226233.491,7.371606634,0.581610102,5.258578355,2.57E-06,36.62976891,1.207840214
33,Ch 2-1,ASAP-0020915,1:1 Kinetic,129709.0237,7.046884475,0.413767406,5.73841942,3.19E-06,72.15444491,2.649864503
33,Ch 3-1,ASAP-0020915,1:1 Kinetic,234810.2794,4.387927076,0.45837388,4.344809656,1.95E-06,32.62273102,1.155544737
33,Ch 4-1,ASAP-0020915,1:1 Kinetic,238658.9182,7.527726681,0.610871171,5.205611863,2.56E-06,35.13582141,1.249754031
34,Ch 2-1,ASAP-0020915,1:1 Kinetic,125985.2522,7.436502348,0.419362019,5.888771762,3.33E-06,73.89029703,2.902156811
34,Ch 3-1,ASAP-0020915,1:1 Kinetic,229531.5966,4.582285371,0.462930006,4.470480868,2.02E-06,33.11263894,1.31689891
34,Ch 4-1,ASAP-0020915,1:1 Kinetic,238034.4176,7.208587543,0.625268856,4.871692701,2.63E-06,35.74239391,1.135412582
